name,average_price,market,month,commodity
AAA,450,X,3,wheat
AAA,343,Y,3,wheat
AAA,605,Z,3,wheat
AAA,548,X,3,wheat
AAA,343,Y,3,wheat
AAA,518,Z,2,wheat
AAA,588,X,2,wheat
AAA,588,Y,2,wheat
AAA,294,Z,2,wheat
BBB,338,X,1,wheat
BBB,343,Y,1,wheat
BBB,1800,Z,1,wheat
BBB,931,X,1,wheat
BBB,2000,Y,3,wheat
BBB,525,Z,3,wheat
BBB,525,X,3,wheat
BBB,399,Y,3,wheat
CCC,399,Z,3,wheat
CCC,500,X,2,wheat
CCC,500,Y,2,wheat
CCC,600,Z,2,wheat
CCC,600,X,2,wheat
CCC,600,Y,1,wheat
CCC,600,Z,1,wheat
DDD,400,X,1,wheat
DDD,925,Y,1,wheat
DDD,500,Z,3,wheat
DDD,1830,X,3,wheat
DDD,1875,Y,3,wheat
DDD,1060,Z,3,wheat
DDD,1500,X,3,wheat
DDD,1500,Y,2,wheat
DDD,1300,Z,2,wheat
