name,market,commodity,month,probability
AAA,X,wheat,1,0.029817978
BBB,X,wheat,2,0.125098345
CCC,X,wheat,3,0.033820919
DDD,Y,wheat,4,0.164019417
AAA,Y,wheat,1,0.186440554
BBB,Y,wheat,2,0.116901239
CCC,Z,wheat,3,0.167238637
DDD,Z,wheat,4,0.375220602
BBB,X,wheat,1,0.062204079
CCC,Y,wheat,2,0.048344306
DDD,Z,wheat,3,0.089629271
AAA,X,wheat,4,0.084991896
AAA,X,wheat,1,0.317607153
AAA,X,wheat,2,0.261206347
AAA,Y,wheat,3,0.295565891
AAA,Y,wheat,4,0.076192024
AAA,Y,wheat,1,0.022560915
DDD,Z,wheat,2,0.076835612
CCC,Z,wheat,3,0.272481814
DDD,X,wheat,4,0.205807318
AAA,Y,wheat,1,0.266290415
BBB,Z,wheat,2,0.14826552
CCC,X,wheat,3,0.151685827
DDD,X,wheat,4,0.114539865
BBB,X,wheat,1,0.093286169
AAA,Y,wheat,2,0.093730445
BBB,Y,wheat,3,0.07537145
CCC,Y,wheat,4,0.239036917
DDD,Z,wheat,1,0.113287981
AAA,Z,wheat,2,0.05552707
BBB,X,wheat,3,0.290214136
CCC,Y,wheat,4,0.124862745
DDD,Z,wheat,1,0.198851781
BBB,X,wheat,2,0.246712921
CCC,X,wheat,3,0.076254396
DDD,X,wheat,4,0.140496122
AAA,Y,wheat,1,0.604620728
AAA,Y,wheat,2,0.132080841
AAA,Y,wheat,3,0.457020219
AAA,Z,wheat,4,0.317894417
AAA,Z,wheat,1,0.085713615
AAA,X,wheat,2,0.062841487
DDD,Y,wheat,3,0.100599552
CCC,Z,wheat,4,0.12705455
DDD,X,wheat,1,0.047764071
AAA,X,wheat,2,0.023521924
BBB,X,wheat,3,0.330975253
CCC,Y,wheat,4,0.063890525
DDD,Y,wheat,1,0.107600092
BBB,Y,wheat,2,0.102889007
CCC,Z,wheat,3,0.198324327
CCC,Z,wheat,4,0.01704665
CCC,X,wheat,1,0.077477311
CCC,Y,wheat,2,0.030768188
CCC,Z,wheat,3,0.144079809
CCC,Z,wheat,4,0.237769058
